datetime;imbalance_p_estonia_none;mfrr_act_baltics_upward;mfrr_act_baltics_downward;mfrr_price_approx_upward;mfrr_price_approx_downward
2023-01-01 00:00:00;-309.49;0.0;29.767;0.0;-321.0
2023-01-01 01:00:00;4.79;0.0;0.0;0.0;0.0
2023-01-01 02:00:00;-309.49;0.0;73.333;0.0;-321.0
2023-01-01 03:00:00;5.51;0.0;0.0;0.0;0.0
2023-01-01 04:00:00;5.51;0.0;0.0;0.0;0.0
2023-01-01 05:00:00;5.51;0.0;0.0;0.0;0.0
2023-01-01 06:00:00;11.11;0.0;0.0;0.0;0.0
2023-01-01 07:00:00;-309.49;0.0;18.017;0.0;-321.0
2023-01-01 08:00:00;-309.49;0.0;31.333;0.0;-321.0
2023-01-01 09:00:00;-309.49;0.0;47.083;0.0;-321.0
2023-01-01 10:00:00;-88.49;0.0;21.0;0.0;-100.0
2023-01-01 11:00:00;-88.49;0.0;21.0;0.0;-100.0
2023-01-01 12:00:00;-88.49;0.0;21.0;0.0;-100.0
2023-01-01 13:00:00;6.51;0.0;0.0;0.0;0.0
2023-01-01 14:00:00;6.51;0.0;0.0;0.0;0.0
2023-01-01 15:00:00;11.96;0.0;0.0;0.0;0.0
2023-01-01 16:00:00;-188.49;0.0;23.983;0.0;-200.0
2023-01-01 17:00:00;-138.49;0.0;34.583;0.0;-150.0
2023-01-01 18:00:00;-88.49;0.0;6.667;0.0;-100.0
2023-01-01 19:00:00;-88.49;0.0;9.517;0.0;-100.0
2023-01-01 20:00:00;42.51;0.0;0.0;0.0;0.0
2023-01-01 21:00:00;-138.49;0.0;40.0;0.0;-150.0
2023-01-01 22:00:00;7.87;0.0;0.0;0.0;0.0
2023-01-01 23:00:00;57.47;0.0;0.0;0.0;0.0
2023-01-02 00:00:00;163.49;52.234;0.0;175.0;0.0
2023-01-02 01:00:00;11.61;0.0;0.0;0.0;0.0
2023-01-02 02:00:00;138.49;14.634;0.0;150.0;0.0
2023-01-02 03:00:00;64.37;0.0;0.0;0.0;0.0
2023-01-02 04:00:00;26.2;0.0;0.483;0.0;14.69
2023-01-02 05:00:00;61.59;0.0;0.0;0.0;0.0
2023-01-02 06:00:00;82.24;0.0;0.0;0.0;0.0
2023-01-02 07:00:00;110.81;0.0;0.0;0.0;0.0
2023-01-02 08:00:00;56.41;0.0;2.0;0.0;44.9
2023-01-02 09:00:00;64.51;0.0;0.867;0.0;53.0
2023-01-02 10:00:00;-16.4;0.0;94.25;0.0;-27.91
2023-01-02 11:00:00;188.49;48.467;0.0;200.0;0.0
2023-01-02 12:00:00;188.49;60.584;0.0;200.0;0.0
2023-01-02 13:00:00;166.91;0.0;0.0;0.0;0.0
2023-01-02 14:00:00;11.61;0.0;38.449;0.0;0.1
2023-01-02 15:00:00;11.61;0.0;45.583;0.0;0.1
2023-01-02 16:00:00;101.43;0.0;0.667;0.0;89.92
2023-01-02 17:00:00;183.99;16.35;0.0;195.5;0.0
2023-01-02 18:00:00;73.78;0.0;4.917;0.0;62.27
2023-01-02 19:00:00;-16.4;0.0;76.082;0.0;-27.91
2023-01-02 20:00:00;-16.4;0.0;99.166;0.0;-27.91
2023-01-02 21:00:00;-23.4;0.0;122.833;0.0;-34.91
2023-01-02 22:00:00;-23.4;0.0;155.667;0.0;-34.91
2023-01-02 23:00:00;56.51;0.0;64.0;0.0;45.0
2023-01-03 00:00:00;11.61;0.0;84.0;0.0;0.1
2023-01-03 01:00:00;90.32;0.0;0.0;0.0;0.0
2023-01-03 02:00:00;85.44;0.0;1.0;0.0;73.93
2023-01-03 03:00:00;115.51;0.0;0.0;0.0;0.0
2023-01-03 04:00:00;23.51;0.0;0.45;0.0;12.0
2023-01-03 05:00:00;11.61;0.0;13.2;0.0;0.1
2023-01-03 06:00:00;11.61;0.0;48.0;0.0;0.1
2023-01-03 07:00:00;188.49;54.466;0.0;200.0;0.0
2023-01-03 08:00:00;36.51;0.0;16.784;0.0;25.0
2023-01-03 09:00:00;36.51;0.0;31.666;0.0;25.0
2023-01-03 10:00:00;36.51;0.0;19.75;0.0;25.0
2023-01-03 11:00:00;180.08;0.0;0.0;0.0;0.0
2023-01-03 12:00:00;214.2;16.983;0.0;225.71;0.0
2023-01-03 13:00:00;190.29;14.851;0.0;201.8;0.0
2023-01-03 14:00:00;197.69;66.551;0.0;209.2;0.0
2023-01-03 15:00:00;276.96;58.916;0.0;288.47;0.0
2023-01-03 16:00:00;193.49;10.1;0.0;205.0;0.0
2023-01-03 17:00:00;178.12;0.0;0.0;0.0;0.0
2023-01-03 18:00:00;193.49;7.834;0.0;205.0;0.0
2023-01-03 19:00:00;288.49;74.7;0.0;300.0;0.0
2023-01-03 20:00:00;151.09;7.15;0.0;162.6;0.0
2023-01-03 21:00:00;213.49;57.149;0.0;225.0;0.0
2023-01-03 22:00:00;128.49;5.0;0.0;140.0;0.0
2023-01-03 23:00:00;135.31;0.0;0.0;0.0;0.0
2023-01-04 00:00:00;163.49;8.716;0.0;175.0;0.0
2023-01-04 01:00:00;238.49;127.6;0.0;250.0;0.0
2023-01-04 02:00:00;224.29;29.732;0.0;235.8;0.0
2023-01-04 03:00:00;11.61;0.0;6.5;0.0;0.1
2023-01-04 04:00:00;76.31;0.0;2.666;0.0;64.8
2023-01-04 05:00:00;114.29;5.633;0.0;125.8;0.0
2023-01-04 06:00:00;213.49;89.117;0.0;225.0;0.0
2023-01-04 07:00:00;238.49;180.984;0.0;250.0;0.0
2023-01-04 08:00:00;188.49;173.65;0.0;200.0;0.0
2023-01-04 09:00:00;233.49;136.667;0.0;245.0;0.0
2023-01-04 10:00:00;233.49;110.501;0.0;245.0;0.0
2023-01-04 11:00:00;227.37;26.0;0.0;238.88;0.0
2023-01-04 12:00:00;154.19;11.666;0.0;165.7;0.0
2023-01-04 13:00:00;233.49;81.332;0.0;245.0;0.0
2023-01-04 14:00:00;233.49;79.833;0.0;245.0;0.0
2023-01-04 15:00:00;167.11;7.5;0.0;178.62;0.0
2023-01-04 16:00:00;36.51;0.0;31.85;0.0;25.0
2023-01-04 17:00:00;42.51;0.0;49.5;0.0;31.0
2023-01-04 18:00:00;97.67;0.0;3.217;0.0;86.16
2023-01-04 19:00:00;133.49;0.0;0.0;0.0;0.0
2023-01-04 20:00:00;258.49;70.417;0.0;270.0;0.0
2023-01-04 21:00:00;165.29;4.166;0.0;176.8;0.0
2023-01-04 22:00:00;62.51;0.0;0.0;0.0;0.0
2023-01-04 23:00:00;129.52;10.668;0.0;141.03;0.0
2023-01-05 00:00:00;263.49;112.717;0.0;275.0;0.0
2023-01-05 01:00:00;213.49;46.333;0.0;225.0;0.0
2023-01-05 02:00:00;200.79;54.1;0.0;212.3;0.0
2023-01-05 03:00:00;39.19;0.0;0.9;0.0;27.68
2023-01-05 04:00:00;39.27;0.0;0.833;0.0;27.76
2023-01-05 05:00:00;111.81;0.0;0.0;0.0;0.0
2023-01-05 06:00:00;111.81;0.0;0.0;0.0;0.0
2023-01-05 07:00:00;111.81;0.0;0.383;0.0;100.3
2023-01-05 08:00:00;258.49;61.134;0.0;270.0;0.0
2023-01-05 09:00:00;258.49;104.083;0.0;270.0;0.0
2023-01-05 10:00:00;258.49;74.616;0.0;270.0;0.0
2023-01-05 11:00:00;36.51;0.0;8.917;0.0;25.0
2023-01-05 12:00:00;26.51;0.0;53.8;0.0;15.0
2023-01-05 13:00:00;26.51;0.0;50.9;0.0;15.0
2023-01-05 14:00:00;139.81;0.0;0.0;0.0;0.0
2023-01-05 15:00:00;235.49;26.168;0.0;247.0;0.0
2023-01-05 16:00:00;146.51;0.0;0.583;0.0;135.0
2023-01-05 17:00:00;190.79;4.433;0.0;202.3;0.0
2023-01-05 18:00:00;216.49;15.516;0.0;228.0;0.0
2023-01-05 19:00:00;180.39;0.25;0.0;191.9;0.0
2023-01-05 20:00:00;194.71;0.0;0.383;0.0;183.2
2023-01-05 21:00:00;173.69;0.0;0.0;0.0;0.0
2023-01-05 22:00:00;248.59;21.251;0.0;260.1;0.0
2023-01-05 23:00:00;241.09;22.849;0.0;252.6;0.0
2023-01-06 00:00:00;125.81;0.0;0.0;0.0;0.0
2023-01-06 01:00:00;115.61;0.0;0.467;0.0;104.1
2023-01-06 02:00:00;124.31;0.0;0.0;0.0;0.0
2023-01-06 03:00:00;92.18;0.0;0.5;0.0;80.67
2023-01-06 04:00:00;238.49;27.301;0.0;250.0;0.0
2023-01-06 05:00:00;238.49;34.916;0.0;250.0;0.0
2023-01-06 06:00:00;16.68;0.0;9.583;0.0;5.17
2023-01-06 07:00:00;124.31;0.0;0.0;0.0;0.0
2023-01-06 08:00:00;263.49;223.517;0.0;275.0;0.0
2023-01-06 09:00:00;263.49;335.7;0.0;275.0;0.0
2023-01-06 10:00:00;258.49;153.4;0.0;270.0;0.0
2023-01-06 11:00:00;121.65;0.0;0.25;0.0;110.14
2023-01-06 12:00:00;122.16;0.0;0.5;0.0;110.65
2023-01-06 13:00:00;237.49;4.817;0.0;249.0;0.0
2023-01-06 14:00:00;358.49;131.615;0.0;370.0;0.0
2023-01-06 15:00:00;258.49;56.599;0.0;270.0;0.0
2023-01-06 16:00:00;23.51;0.0;31.0;0.0;12.0
2023-01-06 17:00:00;133.61;0.0;0.383;0.0;122.1
2023-01-06 18:00:00;147.11;0.0;0.0;0.0;0.0
2023-01-06 19:00:00;139.41;0.0;0.0;0.0;0.0
2023-01-06 20:00:00;162.49;4.5;0.0;174.0;0.0
2023-01-06 21:00:00;95.71;0.0;0.0;0.0;0.0
2023-01-06 22:00:00;112.53;0.0;0.0;0.0;0.0
2023-01-06 23:00:00;36.51;0.0;0.0;0.0;0.0
2023-01-07 00:00:00;187.49;14.349;0.0;199.0;0.0
2023-01-07 01:00:00;288.49;108.833;0.0;300.0;0.0
2023-01-07 02:00:00;96.49;0.0;0.0;0.0;0.0
2023-01-07 03:00:00;187.49;19.633;0.0;199.0;0.0
2023-01-07 04:00:00;187.49;19.85;0.0;199.0;0.0
2023-01-07 05:00:00;238.49;76.667;0.0;250.0;0.0
2023-01-07 06:00:00;187.49;23.0;0.0;199.0;0.0
2023-01-07 07:00:00;288.49;87.348;0.0;300.0;0.0
2023-01-07 08:00:00;288.49;89.519;0.0;300.0;0.0
2023-01-07 09:00:00;288.49;35.035;0.0;300.0;0.0
2023-01-07 10:00:00;301.79;108.35;0.0;313.3;0.0
2023-01-07 11:00:00;288.49;98.667;0.0;300.0;0.0
2023-01-07 12:00:00;287.49;65.0;0.0;299.0;0.0
2023-01-07 13:00:00;238.49;46.667;0.0;250.0;0.0
2023-01-07 14:00:00;198.79;68.917;0.0;210.3;0.0
2023-01-07 15:00:00;288.49;88.2;0.0;300.0;0.0
2023-01-07 16:00:00;288.49;48.916;0.0;300.0;0.0
2023-01-07 17:00:00;288.49;90.5;0.0;300.0;0.0
2023-01-07 18:00:00;258.49;142.5;0.0;270.0;0.0
2023-01-07 19:00:00;288.49;62.467;0.0;300.0;0.0
2023-01-07 20:00:00;258.49;97.601;0.0;270.0;0.0
2023-01-07 21:00:00;258.49;137.736;0.0;270.0;0.0
2023-01-07 22:00:00;258.49;156.617;0.0;270.0;0.0
2023-01-07 23:00:00;258.49;131.334;0.0;270.0;0.0
2023-01-08 00:00:00;288.49;274.666;0.0;300.0;0.0
2023-01-08 01:00:00;288.49;127.6;0.0;300.0;0.0
2023-01-08 02:00:00;288.49;149.0;0.0;300.0;0.0
2023-01-08 03:00:00;288.49;125.617;0.0;300.0;0.0
2023-01-08 04:00:00;288.49;114.934;0.0;300.0;0.0
2023-01-08 05:00:00;257.49;79.0;0.0;269.0;0.0
2023-01-08 06:00:00;263.49;215.417;0.0;275.0;0.0
2023-01-08 07:00:00;288.49;238.066;0.0;300.0;0.0
2023-01-08 08:00:00;258.49;142.784;0.0;270.0;0.0
2023-01-08 09:00:00;258.49;101.768;0.0;270.0;0.0
2023-01-08 10:00:00;258.49;124.6;0.0;270.0;0.0
2023-01-08 11:00:00;488.49;208.534;0.0;500.0;0.0
2023-01-08 12:00:00;258.49;91.867;0.0;270.0;0.0
2023-01-08 13:00:00;257.49;12.751;0.0;269.0;0.0
2023-01-08 14:00:00;488.49;25.133;0.0;500.0;0.0
2023-01-08 15:00:00;488.49;10.949;0.0;500.0;0.0
2023-01-08 16:00:00;488.49;9.766;0.0;500.0;0.0
2023-01-08 17:00:00;46.51;0.0;0.0;0.0;0.0
2023-01-08 18:00:00;46.51;0.0;0.0;0.0;0.0
2023-01-08 19:00:00;81.42;0.0;0.0;0.0;0.0
2023-01-08 20:00:00;77.13;0.0;0.0;0.0;0.0
2023-01-08 21:00:00;46.51;0.0;0.0;0.0;0.0
2023-01-08 22:00:00;41.51;0.0;15.0;0.0;30.0
2023-01-08 23:00:00;41.51;0.0;15.083;0.0;30.0
2023-01-09 00:00:00;26.51;0.0;42.75;0.0;15.0
2023-01-09 01:00:00;88.49;0.0;0.0;0.0;0.0
2023-01-09 02:00:00;52.87;0.0;0.0;0.0;0.0
2023-01-09 03:00:00;46.51;0.0;0.0;0.0;0.0
2023-01-09 04:00:00;14.01;0.0;0.0;0.0;0.0
2023-01-09 05:00:00;46.51;0.0;0.0;0.0;0.0
2023-01-09 06:00:00;487.49;96.768;0.0;499.0;0.0
2023-01-09 07:00:00;258.49;93.433;0.0;270.0;0.0
2023-01-09 08:00:00;488.49;150.867;0.0;500.0;0.0
2023-01-09 09:00:00;488.49;102.416;0.0;500.0;0.0
2023-01-09 10:00:00;258.49;69.151;0.0;270.0;0.0
2023-01-09 11:00:00;258.49;79.083;0.0;270.0;0.0
2023-01-09 12:00:00;258.49;73.117;0.0;270.0;0.0
2023-01-09 13:00:00;142.51;0.0;0.0;0.0;0.0
2023-01-09 14:00:00;41.51;0.0;25.934;0.0;30.0
2023-01-09 15:00:00;142.51;0.0;0.0;0.0;0.0
2023-01-09 16:00:00;258.49;70.267;0.0;270.0;0.0
2023-01-09 17:00:00;241.42;5.75;0.0;252.93;0.0
2023-01-09 18:00:00;69.95;0.0;18.133;0.0;58.44
2023-01-09 19:00:00;133.51;0.0;0.0;0.0;0.0
2023-01-09 20:00:00;93.59;0.0;0.0;0.0;0.0
2023-01-09 21:00:00;488.49;50.368;0.0;500.0;0.0
2023-01-09 22:00:00;285.41;110.134;0.0;296.92;0.0
2023-01-09 23:00:00;213.49;14.117;0.0;225.0;0.0
2023-01-10 00:00:00;92.1;0.0;0.5;0.0;80.59
2023-01-10 01:00:00;220.99;35.916;0.0;232.5;0.0
2023-01-10 02:00:00;488.49;70.567;0.0;500.0;0.0
2023-01-10 03:00:00;213.49;74.45;0.0;225.0;0.0
2023-01-10 04:00:00;106.49;0.0;0.0;0.0;0.0
2023-01-10 05:00:00;213.49;21.032;0.0;225.0;0.0
2023-01-10 06:00:00;488.49;56.166;0.0;500.0;0.0
2023-01-10 07:00:00;243.49;118.634;0.0;255.0;0.0
2023-01-10 08:00:00;213.49;35.517;0.0;225.0;0.0
2023-01-10 09:00:00;213.49;40.499;0.0;225.0;0.0
2023-01-10 10:00:00;107.65;2.167;20.167;158.1;96.14
2023-01-10 11:00:00;169.69;19.783;0.0;181.2;0.0
2023-01-10 12:00:00;138.49;1.667;0.0;150.0;0.0
