"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"Tarbimine";"Tootmine";"Planeeritud tarbimine";"Planeeritud tootmine"
"1672524000";"01.01.2023 00:00";"798,2";"543,1";"830,6";"549,3"
"1672527600";"01.01.2023 01:00";"793,4";"552,8";"816,3";"556,8"
"1672531200";"01.01.2023 02:00";"776,5";"546,5";"848,6";"528,3"
"1672534800";"01.01.2023 03:00";"757";"545,3";"814,2";"516,5"
"1672538400";"01.01.2023 04:00";"743,7";"503,1";"832,1";"497,2"
"1672542000";"01.01.2023 05:00";"737,6";"483,5";"818";"478,4"
"1672545600";"01.01.2023 06:00";"749,4";"455,6";"834,2";"457"
"1672549200";"01.01.2023 07:00";"763,5";"435,9";"848,1";"447,9"
"1672552800";"01.01.2023 08:00";"782,7";"425,4";"877,2";"436,7"
"1672556400";"01.01.2023 09:00";"797,2";"423,9";"902,7";"428,8"
"1672560000";"01.01.2023 10:00";"841,1";"430,3";"914,1";"427,9"
"1672563600";"01.01.2023 11:00";"885,4";"452";"930,6";"421,2"
"1672567200";"01.01.2023 12:00";"905,9";"458,9";"928,8";"416,8"
"1672570800";"01.01.2023 13:00";"914,7";"443,8";"931,3";"413,5"
"1672574400";"01.01.2023 14:00";"911,8";"446,6";"939,7";"415,1"
"1672578000";"01.01.2023 15:00";"928,1";"428,8";"963,7";"416,5"
"1672581600";"01.01.2023 16:00";"985,3";"429,5";"1019,8";"417,8"
"1672585200";"01.01.2023 17:00";"988,6";"465,3";"1006,7";"459,1"
"1672588800";"01.01.2023 18:00";"983,6";"506";"1002,1";"522,1"
"1672592400";"01.01.2023 19:00";"958,7";"502,7";"976,1";"530,9"
"1672596000";"01.01.2023 20:00";"933,4";"507,5";"949,1";"544,2"
"1672599600";"01.01.2023 21:00";"905,5";"516,9";"918,6";"545,8"
"1672603200";"01.01.2023 22:00";"860,2";"492,3";"904,6";"541,1"
"1672606800";"01.01.2023 23:00";"821,5";"494,7";"850";"549,4"
"1672610400";"02.01.2023 00:00";"791,3";"512,9";"799,4";"539,4"
"1672614000";"02.01.2023 01:00";"771,1";"522,2";"832,3";"547,7"
"1672617600";"02.01.2023 02:00";"762,4";"560,1";"828,1";"568,6"
"1672621200";"02.01.2023 03:00";"759,9";"583,3";"814,6";"589,1"
"1672624800";"02.01.2023 04:00";"765,6";"598,4";"826,1";"602"
"1672628400";"02.01.2023 05:00";"790,5";"626,7";"854";"629,7"
"1672632000";"02.01.2023 06:00";"874,9";"656,8";"907,6";"631"
"1672635600";"02.01.2023 07:00";"972";"746";"1002,9";"773,5"
"1672639200";"02.01.2023 08:00";"1066,8";"871,5";"1062,1";"868,4"
"1672642800";"02.01.2023 09:00";"1129,4";"946,8";"1094,4";"935,9"
"1672646400";"02.01.2023 10:00";"1146,3";"957,5";"1106,9";"969,7"
"1672650000";"02.01.2023 11:00";"1153,6";"999,9";"1093,3";"970,5"
