timestamp;DA_price;datetime
1672527600;2.01;2023-01-01 00:00:00
1672531200;1.38;2023-01-01 01:00:00
1672534800;0.09;2023-01-01 02:00:00
1672538400;0.08;2023-01-01 03:00:00
1672542000;0.05;2023-01-01 04:00:00
1672545600;0.08;2023-01-01 05:00:00
1672549200;0.09;2023-01-01 06:00:00
1672552800;0.53;2023-01-01 07:00:00
1672556400;2.03;2023-01-01 08:00:00
1672560000;3.1;2023-01-01 09:00:00
1672563600;4.43;2023-01-01 10:00:00
1672567200;6.06;2023-01-01 11:00:00
1672570800;6.06;2023-01-01 12:00:00
1672574400;5.68;2023-01-01 13:00:00
1672578000;17.71;2023-01-01 14:00:00
1672581600;24.11;2023-01-01 15:00:00
1672585200;36.54;2023-01-01 16:00:00
1672588800;46.03;2023-01-01 17:00:00
1672592400;54.23;2023-01-01 18:00:00
1672596000;53.63;2023-01-01 19:00:00
1672599600;48.05;2023-01-01 20:00:00
1672603200;44.68;2023-01-01 21:00:00
1672606800;45.96;2023-01-01 22:00:00
1672610400;35.0;2023-01-01 23:00:00
1672614000;57.91;2023-01-02 00:00:00
1672617600;51.67;2023-01-02 01:00:00
1672621200;52.86;2023-01-02 02:00:00
1672624800;44.16;2023-01-02 03:00:00
1672628400;50.08;2023-01-02 04:00:00
1672632000;70.73;2023-01-02 05:00:00
1672635600;105.08;2023-01-02 06:00:00
1672639200;138.19;2023-01-02 07:00:00
1672642800;145.98;2023-01-02 08:00:00
1672646400;147.05;2023-01-02 09:00:00
1672650000;145.61;2023-01-02 10:00:00
1672653600;143.35;2023-01-02 11:00:00
1672657200;144.38;2023-01-02 12:00:00
1672660800;143.76;2023-01-02 13:00:00
1672664400;148.2;2023-01-02 14:00:00
1672668000;155.34;2023-01-02 15:00:00
1672671600;162.89;2023-01-02 16:00:00
1672675200;170.0;2023-01-02 17:00:00
1672678800;174.74;2023-01-02 18:00:00
1672682400;164.46;2023-01-02 19:00:00
1672686000;153.0;2023-01-02 20:00:00
1672689600;141.67;2023-01-02 21:00:00
1672693200;131.67;2023-01-02 22:00:00
1672696800;118.06;2023-01-02 23:00:00
1672700400;78.81;2023-01-03 00:00:00
1672704000;73.93;2023-01-03 01:00:00
1672707600;73.94;2023-01-03 02:00:00
1672711200;71.44;2023-01-03 03:00:00
1672714800;72.33;2023-01-03 04:00:00
1672718400;77.14;2023-01-03 05:00:00
1672722000;102.48;2023-01-03 06:00:00
1672725600;154.96;2023-01-03 07:00:00
1672729200;163.92;2023-01-03 08:00:00
1672732800;167.07;2023-01-03 09:00:00
1672736400;168.57;2023-01-03 10:00:00
1672740000;169.49;2023-01-03 11:00:00
1672743600;164.5;2023-01-03 12:00:00
1672747200;160.91;2023-01-03 13:00:00
1672750800;163.06;2023-01-03 14:00:00
1672754400;167.73;2023-01-03 15:00:00
1672758000;166.61;2023-01-03 16:00:00
1672761600;170.72;2023-01-03 17:00:00
1672765200;168.93;2023-01-03 18:00:00
1672768800;160.99;2023-01-03 19:00:00
1672772400;149.62;2023-01-03 20:00:00
1672776000;131.05;2023-01-03 21:00:00
1672779600;114.27;2023-01-03 22:00:00
1672783200;93.66;2023-01-03 23:00:00
1672786800;82.88;2023-01-04 00:00:00
1672790400;78.84;2023-01-04 01:00:00
1672794000;69.93;2023-01-04 02:00:00
1672797600;69.26;2023-01-04 03:00:00
1672801200;71.75;2023-01-04 04:00:00
1672804800;81.73;2023-01-04 05:00:00
1672808400;112.76;2023-01-04 06:00:00
1672812000;126.72;2023-01-04 07:00:00
1672815600;127.91;2023-01-04 08:00:00
1672819200;127.92;2023-01-04 09:00:00
1672822800;125.08;2023-01-04 10:00:00
1672826400;138.88;2023-01-04 11:00:00
1672830000;135.8;2023-01-04 12:00:00
1672833600;136.74;2023-01-04 13:00:00
1672837200;130.08;2023-01-04 14:00:00
1672840800;130.05;2023-01-04 15:00:00
1672844400;125.07;2023-01-04 16:00:00
1672848000;133.44;2023-01-04 17:00:00
1672851600;125.01;2023-01-04 18:00:00
1672855200;119.88;2023-01-04 19:00:00
1672858800;64.56;2023-01-04 20:00:00
1672862400;57.26;2023-01-04 21:00:00
