"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"Päikeseenergia toodang";"Päikeseenergia toodangu prognoos - bilansihaldurid";"Päikeseenergia toodangu prognoos - süsteemioperaator"
"1672524000";"01.01.2023 00:00";"0";"0,3";"0"
"1672527600";"01.01.2023 01:00";"0";"0,2";"0"
"1672531200";"01.01.2023 02:00";"0";"0,1";"0"
"1672534800";"01.01.2023 03:00";"0";"0,2";"0"
"1672538400";"01.01.2023 04:00";"0";"0,2";"0"
"1672542000";"01.01.2023 05:00";"0";"0,2";"0"
"1672545600";"01.01.2023 06:00";"0";"0,3";"0"
"1672549200";"01.01.2023 07:00";"0";"0,6";"0"
"1672552800";"01.01.2023 08:00";"0,2";"1,3";"0"
"1672556400";"01.01.2023 09:00";"1";"2,3";"2,684"
"1672560000";"01.01.2023 10:00";"4,7";"4,5";"11,999"
"1672563600";"01.01.2023 11:00";"10,3";"8,3";"18,996"
"1672567200";"01.01.2023 12:00";"13,8";"10,5";"44,122"
"1672570800";"01.01.2023 13:00";"11,6";"8,8";"29,249"
"1672574400";"01.01.2023 14:00";"5,7";"5,1";"13,573"
"1672578000";"01.01.2023 15:00";"0,8";"2";"0"
"1672581600";"01.01.2023 16:00";"0,2";"1,1";"0"
"1672585200";"01.01.2023 17:00";"0";"0,7";"0"
"1672588800";"01.01.2023 18:00";"0";"0,6";"0"
"1672592400";"01.01.2023 19:00";"0";"0,5";"0"
"1672596000";"01.01.2023 20:00";"0";"0,5";"0"
"1672599600";"01.01.2023 21:00";"0";"0,3";"0"
"1672603200";"01.01.2023 22:00";"0";"0,4";"0"
"1672606800";"01.01.2023 23:00";"0";"0,3";"0"
"1672610400";"02.01.2023 00:00";"0";"0,3";"0"
"1672614000";"02.01.2023 01:00";"0";"0";"0"
"1672617600";"02.01.2023 02:00";"0";"0";"0"
"1672621200";"02.01.2023 03:00";"0";"0";"0"
"1672624800";"02.01.2023 04:00";"0";"0";"0"
"1672628400";"02.01.2023 05:00";"0";"0";"0"
"1672632000";"02.01.2023 06:00";"0";"0,1";"0"
"1672635600";"02.01.2023 07:00";"0,2";"0,4";"0"
"1672639200";"02.01.2023 08:00";"0,4";"0,9";"0"
"1672642800";"02.01.2023 09:00";"4,3";"3";"3,164"
"1672646400";"02.01.2023 10:00";"17";"9,6";"14,355"
"1672650000";"02.01.2023 11:00";"25,3";"15,8";"25,959"
"1672653600";"02.01.2023 12:00";"24,8";"16,9";"31,603"
"1672657200";"02.01.2023 13:00";"19,5";"11,2";"15,231"
"1672660800";"02.01.2023 14:00";"8,2";"4,6";"2,868"
"1672664400";"02.01.2023 15:00";"0,8";"1,6";"0"
"1672668000";"02.01.2023 16:00";"0,2";"0,4";"0"
"1672671600";"02.01.2023 17:00";"0";"0,2";"0"
"1672675200";"02.01.2023 18:00";"0";"0";"0"
"1672678800";"02.01.2023 19:00";"0";"0";"0"
"1672682400";"02.01.2023 20:00";"0";"0";"0"
"1672686000";"02.01.2023 21:00";"0";"0";"0"
"1672689600";"02.01.2023 22:00";"0";"0";"0"
"1672693200";"02.01.2023 23:00";"0";"0";"0"
"1672696800";"03.01.2023 00:00";"0";"0";"0"
"1672700400";"03.01.2023 01:00";"0";"0";"0"
"1672704000";"03.01.2023 02:00";"0";"0";"0"
"1672707600";"03.01.2023 03:00";"0";"0";"0"
"1672711200";"03.01.2023 04:00";"0";"0";"0"
"1672714800";"03.01.2023 05:00";"0";"0";"0"
"1672718400";"03.01.2023 06:00";"0";"0,1";"0"
"1672722000";"03.01.2023 07:00";"0,3";"0,4";"0"
"1672725600";"03.01.2023 08:00";"0,4";"0,9";"0"
"1672729200";"03.01.2023 09:00";"1,5";"1,6";"0"
"1672732800";"03.01.2023 10:00";"5";"3,1";"2,098"
"1672736400";"03.01.2023 11:00";"8,4";"5,8";"9,985"
"1672740000";"03.01.2023 12:00";"9,3";"6,1";"11,72"
"1672743600";"03.01.2023 13:00";"9";"4,8";"9,988"
